,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_alpha,params_batch_size,params_beta,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_lr_schedule,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
0,0,0.23925181259127365,2022-08-20 07:31:05.991383,2022-08-20 08:11:39.477738,0 days 00:40:33.486355,relu,0.548584959425262,16,0.22315652749870785,0.4,0.0002094082377249299,0.9,0.95,0.0009705753920498041,linear,0.9,5,1024,large,0.8011057290141317,COMPLETE
1,1,0.0,2022-08-20 08:11:39.516046,2022-08-20 09:01:38.813215,0 days 00:49:59.297169,tanh,0.5970188677078807,32,0.22924193317188557,0.2,2.324667114476462e-08,0.92,0.99,0.001135690560056704,constant,0.6,10,1024,medium,0.9846195570452634,PRUNED
2,2,0.23448291315761657,2022-08-20 09:01:38.826224,2022-08-20 09:32:15.574835,0 days 00:30:36.748611,tanh,0.022646091634292875,256,0.2828200731134798,0.1,9.508337245163356e-07,1.0,0.95,9.924777910027948e-05,constant,0.8,5,512,large,0.39017720037331394,PRUNED
3,3,0.0,2022-08-20 09:32:15.589771,2022-08-20 10:02:22.138085,0 days 00:30:06.548314,relu,0.41335770335512334,32,0.6024299665759574,0.4,6.244685948538511e-06,0.8,0.999,1.7783037866528102e-05,linear,5.0,5,16,small,0.2621186351127497,PRUNED
4,4,,2022-08-20 10:02:22.149729,,,relu,0.31225290832371533,64,0.6432839851002004,0.4,2.8088009337221396e-06,0.9,0.9,1.774622779132786e-05,constant,0.3,10,1024,medium,0.8019862328139866,RUNNING
5,5,0.4101162375235804,2022-08-20 23:15:20.809418,2022-08-20 23:38:12.677871,0 days 00:22:51.868453,tanh,0.23962453118306715,256,0.35331020128254753,0.2,9.333823405120394e-07,0.9,0.99,0.00011575446854802569,linear,5.0,10,128,large,0.46148569814970763,COMPLETE
6,6,0.0,2022-08-20 23:38:12.834281,2022-08-20 23:44:12.920832,0 days 00:06:00.086551,relu,0.8028553323645863,256,0.06537738264281279,0.1,3.4953860119876787e-05,1.0,0.98,0.00695971300145651,linear,0.5,1,1024,medium,0.549429570000852,PRUNED
7,7,0.0,2022-08-20 23:44:13.140214,2022-08-20 23:52:44.721302,0 days 00:08:31.581088,relu,0.26003732722740514,512,0.6131740412284256,0.2,6.036719387107461e-06,0.8,0.9,0.0032087541604242757,constant,0.3,1,2048,medium,0.10987800236525147,PRUNED
8,8,0.0,2022-08-20 23:52:44.887428,2022-08-21 00:02:36.583406,0 days 00:09:51.695978,relu,0.24638712272664098,128,0.9235881501478065,0.1,3.02742530561552e-05,0.99,0.999,0.07295671861894554,linear,0.7,5,32,large,0.06204228982089843,PRUNED
9,9,0.0,2022-08-21 00:02:36.710275,2022-08-21 00:32:31.159824,0 days 00:29:54.449549,relu,0.878838735365007,512,0.28435131022013715,0.4,4.705487733637388e-05,0.92,0.99,0.07159923501454793,linear,1.0,10,32,small,0.36735280307208784,PRUNED
10,10,0.0,2022-08-21 00:32:31.235025,2022-08-21 00:43:25.576853,0 days 00:10:54.341828,tanh,0.9250141967969095,8,0.8397181731979508,0.2,0.0013160883912237207,0.98,0.995,0.0004124528286179374,constant,0.8,1,512,small,0.21366345062947167,PRUNED
11,11,0.0,2022-08-21 00:43:25.710511,2022-08-21 01:19:37.604435,0 days 00:36:11.893924,tanh,0.038216963416416505,64,0.5092326867441076,0.3,0.0435220968164241,0.9,0.9999,1.0577423520829559e-05,linear,2.0,20,128,large,0.6548282939220166,PRUNED
12,12,0.4615445539784283,2022-08-21 01:19:37.829934,2022-08-21 02:18:24.159364,0 days 00:58:46.329430,tanh,0.6244208076979219,16,0.06651611946577987,0.4,8.314425329348801e-08,0.9,0.95,0.0001787626519060611,linear,0.9,10,8,large,0.8261776811759327,COMPLETE
13,13,0.4038499172199817,2022-08-21 02:18:24.402226,2022-08-21 03:12:37.697465,0 days 00:54:13.295239,tanh,0.708376562676626,16,0.007615024874840226,0.3,5.4377106865834635e-08,0.9,0.99,9.20516955355672e-05,linear,0.9,10,8,large,0.7373230595136795,PRUNED
14,14,0.4530399625272613,2022-08-21 03:12:37.744192,2022-08-21 03:49:41.687094,0 days 00:37:03.942902,tanh,0.41451183887905324,16,0.4027508190420007,0.4,2.5828551526069986e-07,0.95,0.95,7.681729270106158e-05,linear,5.0,10,256,large,0.9959715312312405,COMPLETE
