,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_rate,params_learning_starts,params_lr_schedule,params_net_arch,params_subsample_steps,params_target_update_interval,params_train_freq,state
0,0,0.7979518536143982,2022-09-08 11:04:08.584035,2022-09-08 11:32:28.912372,0 days 00:28:20.328337,0.4941706967391645,16,0.9633028274703362,100000,0.047721311306718285,0.3435578927362297,0.95,0.009539431103368197,20000,linear,large,1,5000,1000,COMPLETE
1,1,0.7701898705530212,2022-09-08 11:32:28.942367,2022-09-08 11:55:53.164968,0 days 00:23:24.222601,0.15229836178589173,16,0.4085728405173691,100000,0.027657308839852204,0.42914992007820735,0.999,4.558127320244284e-05,5000,linear,medium,4,10000,16,COMPLETE
2,2,0.0,2022-09-08 11:55:53.183430,2022-09-08 12:07:13.270833,0 days 00:11:20.087403,0.6348324867982634,32,0.051799679950992994,10000,0.12997009461596706,0.2709881656272553,0.9999,0.5537669507543929,0,linear,medium,4,10000,16,COMPLETE
3,3,0.8522555103254797,2022-09-08 12:07:13.291461,2022-09-08 12:32:48.716230,0 days 00:25:35.424769,0.16589417348408575,16,0.8750204612420628,10000,0.1800730789434017,0.3934687565410985,0.9,0.0017724283804588534,1000,linear,small,4,5000,128,COMPLETE
4,4,0.9094965166528584,2022-09-08 12:32:48.737667,2022-09-08 13:07:06.302548,0 days 00:34:17.564881,0.48159317914588684,100,0.38104079403476054,50000,0.11981440204082286,0.007695253448949946,0.999,0.003914982056174567,0,constant,medium,8,15000,4,COMPLETE
5,5,0.0,2022-09-08 13:07:06.325371,2022-09-08 13:19:16.607457,0 days 00:12:10.282086,0.4363787102991308,100,0.03626056234266595,50000,0.17453654799318255,0.4061816552338622,0.995,0.7190051626848663,5000,linear,small,8,20000,16,COMPLETE
6,6,0.549217187646991,2022-09-08 13:19:16.635723,2022-09-08 13:57:12.406428,0 days 00:37:55.770705,0.5918697267671709,512,0.4330736911202514,10000,0.11415315442561691,0.4906136447723613,0.999,0.0011471453834256322,20000,constant,medium,2,5000,1,COMPLETE
7,7,0.0,2022-09-08 13:57:12.433091,2022-09-08 14:04:55.099211,0 days 00:07:42.666120,0.1415886331644547,512,0.43240322129355113,10000,0.03456285626798055,0.06441993227737808,0.995,0.9392955290387425,0,constant,medium,2,1,8,COMPLETE
8,8,0.9126403419264086,2022-09-08 14:04:55.118058,2022-09-08 14:37:35.108567,0 days 00:32:39.990509,0.10013289393827951,32,0.1575384585176136,10000,0.12329917260893763,0.3925893413405515,0.9999,0.0002087680014307802,10000,linear,small,1,20000,4,COMPLETE
9,9,0.9040641739267772,2022-09-08 14:37:35.127307,2022-09-08 15:18:52.379843,0 days 00:41:17.252536,0.48853966777585134,512,0.16334577043638676,10000,0.09949972988288314,0.157618989168619,0.9,0.02092829867346103,0,linear,medium,4,10000,1,COMPLETE
10,10,0.3903098518479541,2022-09-08 15:18:52.400491,2022-09-08 15:39:32.801016,0 days 00:20:40.400525,0.8821894637558747,64,0.7310427456975003,1000000,0.07510213618469982,0.26363388327282405,0.98,1.5277558706349217e-05,10000,constant,small,1,1000,4,COMPLETE
11,11,0.9172910366173996,2022-09-08 15:39:32.825156,2022-09-08 16:14:19.954179,0 days 00:34:47.129023,0.2948957938744897,100,0.24671445480264598,50000,0.14403168166048846,0.031014082059700937,0.9999,0.0002172728046811367,10000,constant,large,8,15000,4,COMPLETE
12,12,0.9277998804019907,2022-09-08 16:14:19.980764,2022-09-08 16:54:38.192575,0 days 00:40:18.211811,0.035635000925990604,256,0.2400975982693675,50000,0.15342861739919816,0.15683351738596382,0.9999,0.00014901181319706917,10000,constant,large,1,15000,256,COMPLETE
13,13,0.8864739828737609,2022-09-08 16:54:38.216446,2022-09-08 17:28:57.097459,0 days 00:34:18.881013,0.29723786757406073,256,0.2528579693020432,50000,0.15733792212851738,0.14011144132108058,0.99,0.00015654342331476132,10000,constant,large,8,15000,256,COMPLETE
14,14,0.9319679037257869,2022-09-08 17:28:57.116673,2022-09-08 18:10:57.323551,0 days 00:42:00.206878,0.01836962989158808,256,0.6228698815746401,50000,0.15567125195114467,0.14675707201065735,0.9999,0.00030607283456391207,10000,constant,large,1,15000,256,COMPLETE
15,15,0.8984770230402572,2022-09-08 18:10:57.345890,2022-09-08 18:46:49.239633,0 days 00:35:51.893743,0.012727173147815178,256,0.629912071533126,50000,0.1970689620025477,0.16985098380189192,0.9999,1.0029550100921805e-05,10000,constant,large,1,15000,256,COMPLETE
16,16,0.9270829940081461,2022-09-08 18:46:49.262402,2022-09-08 19:27:40.933599,0 days 00:40:51.671197,0.012461714186448765,128,0.5920080218742187,1000000,0.15404287877543835,0.09710025571725533,0.9999,0.000624684898916893,1000,constant,large,1,15000,256,COMPLETE
17,17,0.0,2022-09-08 19:27:40.952281,2022-09-08 19:41:33.896906,0 days 00:13:52.944625,0.2950139719303957,256,0.7071827484292196,50000,0.0872925608711417,0.1904059185116215,0.99,0.07482376355905104,10000,constant,large,1,1000,256,COMPLETE
18,18,0.8293255397361861,2022-09-08 19:41:33.916639,2022-09-08 20:16:19.896497,0 days 00:34:45.979858,0.9304869073136453,256,0.5709726946111191,50000,0.17577475425227826,0.23543914124396592,0.95,4.844133640859492e-05,10000,constant,large,1,1,256,COMPLETE
19,19,0.8976283246997504,2022-09-08 20:16:19.919044,2022-09-08 20:57:11.530240,0 days 00:40:51.611196,0.6962032823351011,256,0.30442606730485106,50000,0.0015661614750210884,0.31410726974853365,0.98,0.00036901928731897677,10000,constant,large,1,15000,8,COMPLETE
20,20,0.8965671210305665,2022-09-08 20:57:11.552580,2022-09-08 21:30:57.087367,0 days 00:33:45.534787,0.3643439910408292,128,0.7696160472410815,1000000,0.19887801409377862,0.11035367780721558,0.9999,6.0418177135316726e-05,5000,constant,large,2,15000,1000,COMPLETE
21,21,0.8848830608524615,2022-09-08 21:30:57.107706,2022-09-08 22:11:44.779889,0 days 00:40:47.672183,0.014161571721216248,128,0.5387365675504783,1000000,0.14917780840567318,0.09110001545952082,0.9999,0.000751014742962817,1000,constant,large,1,15000,256,COMPLETE
22,22,0.9140976819107689,2022-09-08 22:11:44.802331,2022-09-08 22:51:38.374825,0 days 00:39:53.572494,0.0004444723434798535,128,0.6353534201091988,1000000,0.15945156373386976,0.21268014439780175,0.9999,0.0005162171195736354,1000,constant,large,1,15000,256,COMPLETE
23,23,0.6949465071870586,2022-09-08 22:51:38.396256,2022-09-08 23:27:09.565916,0 days 00:35:31.169660,0.08098552011000869,128,0.853213791692897,1000000,0.14070319549036997,0.11455405161584736,0.9999,0.0029729256055098414,1000,constant,large,1,15000,256,COMPLETE
24,24,0.9095565949344525,2022-09-08 23:27:09.586430,2022-09-09 00:05:35.227822,0 days 00:38:25.641392,0.2013566889005754,64,0.47870031017077536,100000,0.16752407820481505,0.06457559412888927,0.9999,8.233416647782209e-05,1000,constant,large,1,15000,128,COMPLETE
25,25,0.9195152917544643,2022-09-09 00:05:35.248730,2022-09-09 00:44:07.813983,0 days 00:38:32.565253,0.19702859975446219,256,0.6073959619581337,1000000,0.10498265969893977,0.14536000421349696,0.9999,0.007901848285461354,20000,constant,large,1,15000,256,COMPLETE
26,26,0.9123953794942421,2022-09-09 00:44:07.834636,2022-09-09 01:22:27.357493,0 days 00:38:19.522857,0.06910126627385524,256,0.5093054388005042,50000,0.14200653121719742,0.20722602189998318,0.9999,2.4860889417455442e-05,1000,constant,large,1,20000,256,COMPLETE
27,27,0.9388794966098452,2022-09-09 01:22:27.377225,2022-09-09 02:01:47.662920,0 days 00:39:20.285695,0.22225743963225408,128,0.3301769957647262,50000,0.18302859394765209,0.06682317759411588,0.9,0.00011544368640385814,10000,constant,large,1,1000,256,COMPLETE
28,28,0.9151308680782548,2022-09-09 02:01:47.684453,2022-09-09 02:39:57.005627,0 days 00:38:09.321174,0.23693303499477136,256,0.342001326654041,50000,0.18807432363724583,0.050670900671504454,0.9,8.751429147176708e-05,10000,constant,large,2,1000,256,COMPLETE
29,29,0.8579706213932641,2022-09-09 02:39:57.026228,2022-09-09 03:11:28.083536,0 days 00:31:31.057308,0.3578740752732541,32,0.9977716178466267,100000,0.1848083101271163,0.3057635960001189,0.95,0.00016164548137120223,10000,constant,large,1,1000,1000,COMPLETE
