,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_alpha,params_batch_size,params_beta,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_lr_schedule,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
0,0,0.0,2022-09-10 22:19:29.207497,2022-09-10 22:55:43.018100,0 days 00:36:13.810603,tanh,0.14039770026506704,16,0.8252090701470852,0.3,0.0019094030950496308,0.8,0.99,0.4509412176291815,constant,0.3,5,1024,large,0.11310233226717392,COMPLETE
1,1,0.026193548387096775,2022-09-10 22:55:43.048372,2022-09-11 00:38:15.017026,0 days 01:42:31.968654,tanh,0.7992949975109054,8,0.042283987266788725,0.1,2.302535841826557e-08,0.8,0.98,1.1795342598212459e-05,constant,2.0,10,2048,large,0.8884919484251769,COMPLETE
2,2,0.2829469286572107,2022-09-11 00:38:15.038495,2022-09-11 01:10:09.607534,0 days 00:31:54.569039,relu,0.0050372770670878975,512,0.9664064530143371,0.3,2.6698956669862843e-05,0.8,0.98,0.00024084564490549167,constant,0.6,20,512,large,0.8219220757473945,COMPLETE
3,3,0.9069769330539555,2022-09-11 01:10:09.630992,2022-09-11 01:58:48.260783,0 days 00:48:38.629791,tanh,0.7351888419141629,16,0.23503173995847626,0.2,0.00023524883490564665,0.99,0.9,0.00047519463602046434,linear,1.0,5,512,large,0.44520859831739135,COMPLETE
4,4,0.8933273090904746,2022-09-11 01:58:48.282126,2022-09-11 02:42:07.917417,0 days 00:43:19.635291,tanh,0.7815163962373723,64,0.13528383432124713,0.1,1.0700689285737276e-07,0.92,0.9,0.00010657726179074515,linear,0.7,10,256,large,0.7681410257804397,COMPLETE
5,5,0.8896334452524052,2022-09-11 02:42:07.946763,2022-09-11 03:22:38.422721,0 days 00:40:30.475958,tanh,0.3119772733519437,8,0.08430383126115493,0.1,1.1936841116345157e-05,0.92,0.98,0.0007045977199252788,linear,0.7,1,16,large,0.5881937231610922,COMPLETE
6,6,0.8752827555900906,2022-09-11 03:22:38.445268,2022-09-11 05:10:33.872437,0 days 01:47:55.427169,tanh,0.03842013633640606,16,0.6855614362167817,0.4,2.842051781501689e-08,0.9,0.98,0.00017575541411077005,constant,0.5,20,64,large,0.8010438086158285,COMPLETE
7,7,0.0,2022-09-11 05:10:33.894757,2022-09-11 05:34:02.182862,0 days 00:23:28.288105,tanh,0.9835083718043848,128,0.8469113975321036,0.3,5.1480973391416236e-06,0.92,0.99,0.00037586517900439987,constant,0.8,1,16,small,0.28339916143300503,COMPLETE
8,8,0.0,2022-09-11 05:34:02.203811,2022-09-11 06:05:15.795489,0 days 00:31:13.591678,tanh,0.6973780595932656,128,0.8147985760524972,0.3,2.998493092274422e-07,0.92,0.95,4.3407504357508895e-05,linear,2.0,10,2048,medium,0.07316634703165825,COMPLETE
9,9,0.0,2022-09-11 06:05:15.817252,2022-09-11 06:21:37.003962,0 days 00:16:21.186710,tanh,0.14243187734050244,256,0.68458232367492,0.1,2.2568800668871933e-05,0.9,0.98,0.008478481369405759,constant,2.0,10,32,small,0.25596296713641087,COMPLETE
10,10,0.0,2022-09-11 06:21:37.028612,2022-09-11 06:55:25.744266,0 days 00:33:48.715654,relu,0.49331481911967817,32,0.33595880658144334,0.2,0.09053524521177557,0.99,0.9,0.0142749367853266,linear,1.0,5,512,medium,0.506618192796342,COMPLETE
11,11,0.9146825838376429,2022-09-11 06:55:25.771862,2022-09-11 07:36:21.578917,0 days 00:40:55.807055,relu,0.6900956821005346,64,0.26933078062079596,0.2,0.0007223685865758023,1.0,0.9,0.0019396143549761772,linear,1.0,5,256,large,0.6506962907914362,COMPLETE
12,12,0.023804839661617155,2022-09-11 07:36:21.599460,2022-09-11 07:58:19.003991,0 days 00:21:57.404531,relu,0.5965054932983027,64,0.3248165942353519,0.2,0.0009673394849810239,1.0,0.999,0.002493777814016486,linear,1.0,5,256,large,0.6517900473138556,COMPLETE
13,13,0.0,2022-09-11 07:58:19.025538,2022-09-11 08:53:31.925702,0 days 00:55:12.900164,relu,0.9948667075412342,64,0.3485782268127133,0.2,0.0011641828679534432,0.95,0.9999,0.0321120853644746,linear,5.0,5,8,large,0.4244049372215808,COMPLETE
14,14,0.7640268120350869,2022-09-11 08:53:31.947233,2022-09-11 09:30:46.572007,0 days 00:37:14.624774,relu,0.46286843380779,16,0.21716967717114638,0.2,0.00033253156976177504,1.0,0.995,0.0019073473346177595,linear,1.0,5,128,small,0.3898566791712974,COMPLETE
15,15,0.0,2022-09-11 09:30:46.592873,2022-09-11 09:43:32.771288,0 days 00:12:46.178415,relu,0.8389875345502773,512,0.47849361264497436,0.2,0.0306573637913764,0.98,0.9,0.06259298644757867,linear,0.9,5,256,medium,0.6850916465797491,COMPLETE
16,16,0.9136113457557279,2022-09-11 09:43:32.793785,2022-09-11 10:21:14.387143,0 days 00:37:41.593358,relu,0.6352162541956151,256,0.4715446776763477,0.4,0.00016410243499636646,0.99,0.9,0.0011476272229520908,linear,1.0,5,512,large,0.9599554318370158,COMPLETE
17,17,0.0,2022-09-11 10:21:14.408158,2022-09-11 10:37:47.732486,0 days 00:16:33.324328,relu,0.3742299258309545,256,0.5057621017426919,0.4,1.6068772117159042e-06,0.99,0.9,0.23409068753200984,linear,1.0,5,32,large,0.9673614238282615,COMPLETE
18,18,0.12477207501933804,2022-09-11 10:37:47.754020,2022-09-11 11:01:11.671514,0 days 00:23:23.917494,relu,0.6228743407170753,256,0.484538378088199,0.4,0.007405721992969072,1.0,0.9999,0.0051514691308780685,linear,0.9,20,128,medium,0.9976587361120471,COMPLETE
19,19,0.0,2022-09-11 11:01:11.691043,2022-09-11 11:28:14.616727,0 days 00:27:02.925684,relu,0.6114962890592417,32,0.5773748363855721,0.4,0.00013987481046214513,0.95,0.999,0.0016410983150925513,linear,0.8,1,1024,small,0.6905636404911719,COMPLETE
20,20,0.0,2022-09-11 11:28:14.637747,2022-09-11 12:23:30.362394,0 days 00:55:15.724647,relu,0.368945080136056,64,0.3875694140715856,0.4,0.008142484705178761,0.98,0.995,0.07396923646180287,linear,0.3,5,8,large,0.5535703628851227,COMPLETE
21,21,0.9102254309569616,2022-09-11 12:23:30.383334,2022-09-11 13:00:38.067579,0 days 00:37:07.684245,relu,0.7056688416123216,256,0.20747746915576964,0.2,0.00012862384924804734,0.99,0.9,0.0006853007496664157,linear,1.0,5,512,large,0.40147834419774986,COMPLETE
