,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_lr_schedule,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
0,0,-499.0,2022-08-17 18:58:04.446311,2022-08-17 19:06:42.801147,0 days 00:08:38.354836,relu,8,0.4,2.3697303982568552e-07,0.9,0.9999,0.036413607699990365,constant,0.9,5,16,medium,0.5868395984488756,COMPLETE
1,1,25.00000037252903,2022-08-17 19:06:42.834138,2022-08-17 19:10:26.812996,0 days 00:03:43.978858,relu,64,0.3,0.004900217666311523,0.92,0.98,0.031411151753123055,linear,1.0,5,256,small,0.8166699268325259,COMPLETE
2,2,-499.0,2022-08-17 19:10:26.835266,2022-08-17 19:14:08.620666,0 days 00:03:41.785400,tanh,256,0.2,0.055859729403267645,0.95,0.999,0.002102235491173829,linear,0.8,10,64,medium,0.6451589922005293,PRUNED
3,3,25.00000037252903,2022-08-17 19:14:08.632504,2022-08-17 19:17:16.055875,0 days 00:03:07.423371,tanh,128,0.3,9.056534435442686e-07,0.8,0.9,0.00012160033136708323,constant,0.8,1,16,small,0.3498595037194352,COMPLETE
4,4,-499.0,2022-08-17 19:17:16.079615,2022-08-17 19:18:03.042080,0 days 00:00:46.962465,tanh,512,0.2,0.0006948475074264277,0.9,0.995,0.2887625917429704,linear,2.0,1,256,small,0.8929836081301403,PRUNED
5,5,-499.0,2022-08-17 19:18:03.056953,2022-08-17 19:28:07.537488,0 days 00:10:04.480535,relu,32,0.2,3.2568671647122306e-06,0.92,0.9999,0.3153941739774325,constant,5.0,20,256,large,0.7442996217526606,PRUNED
6,6,25.00000037252903,2022-08-17 19:28:07.551237,2022-08-17 19:38:40.788770,0 days 00:10:33.237533,relu,8,0.2,1.3603423116347238e-08,0.99,0.9,5.167380185330433e-05,constant,0.9,5,1024,medium,0.21936260553676667,COMPLETE
7,7,25.00000037252903,2022-08-17 19:38:40.815065,2022-08-17 19:54:38.626627,0 days 00:15:57.811562,relu,8,0.1,0.00018375195976018754,1.0,0.98,6.67355418763492e-05,linear,1.0,10,64,medium,0.04716323238227804,COMPLETE
8,8,-498.0,2022-08-17 19:54:38.648666,2022-08-17 19:58:31.474202,0 days 00:03:52.825536,relu,256,0.1,2.1523095952583142e-07,0.8,0.99,1.9622506350422077e-05,linear,0.6,20,512,small,0.5195723074278358,PRUNED
9,9,25.00000037252903,2022-08-17 19:58:31.484461,2022-08-17 20:04:41.207731,0 days 00:06:09.723270,relu,128,0.3,7.081714461432706e-05,0.99,0.995,0.4569276552580285,linear,0.3,20,64,medium,0.28544714202498755,COMPLETE
10,10,-370.4917183551937,2022-08-17 20:04:41.232499,2022-08-17 20:07:47.272842,0 days 00:03:06.040343,relu,64,0.3,0.02265119550214083,0.92,0.98,0.0077644667282924405,linear,1.0,5,2048,large,0.9841180476121797,PRUNED
11,11,36.630079567292704,2022-08-17 20:07:47.286340,2022-08-17 20:11:29.396217,0 days 00:03:42.109877,tanh,128,0.3,0.002714912154901436,0.8,0.9,0.0005519295268540798,constant,0.5,1,16,small,0.3995558065815194,COMPLETE
12,12,-49.550768774887544,2022-08-17 20:11:29.416258,2022-08-17 20:15:33.148724,0 days 00:04:03.732466,tanh,64,0.3,0.002742526727149511,0.98,0.95,0.000779146192076694,constant,0.5,1,8,small,0.7488764772714912,PRUNED
13,13,-498.0,2022-08-17 20:15:33.162677,2022-08-17 20:21:39.028846,0 days 00:06:05.866169,tanh,16,0.3,0.003410361816465008,0.92,0.98,0.032183106672958935,constant,0.5,5,128,small,0.4125402471011958,PRUNED
14,14,35.4462577143684,2022-08-17 20:21:39.042061,2022-08-17 20:25:08.733708,0 days 00:03:29.691647,tanh,64,0.4,1.4709818091151e-05,0.8,0.9,0.0006313386027065103,constant,0.7,1,32,small,0.1536241957258953,COMPLETE
15,15,25.00000037252903,2022-08-17 20:25:08.759936,2022-08-17 20:28:10.408587,0 days 00:03:01.648651,tanh,128,0.4,8.327545513697374e-06,0.8,0.9,0.00044257164293188845,constant,0.7,1,32,small,0.11605612331198281,COMPLETE
16,16,25.00000037252903,2022-08-17 20:28:10.431337,2022-08-17 20:31:31.295653,0 days 00:03:20.864316,tanh,16,0.4,2.6329101342971265e-05,0.8,0.9,0.00031135906149075074,constant,0.7,1,32,small,0.1612349877922097,COMPLETE
17,17,25.00000037252903,2022-08-17 20:31:31.321919,2022-08-17 20:33:40.285875,0 days 00:02:08.963956,tanh,512,0.4,0.0003191623689852693,0.8,0.9,0.0035826331034210586,constant,0.7,1,32,large,0.42612134266632123,COMPLETE
18,18,25.00000037252903,2022-08-17 20:33:40.318246,2022-08-17 20:36:54.693662,0 days 00:03:14.375416,tanh,32,0.4,1.9344472804234084e-05,0.98,0.99,0.0008659177602072062,constant,0.5,1,16,small,0.04668136130774497,COMPLETE
19,19,25.00000037252903,2022-08-17 20:36:54.721588,2022-08-17 20:40:04.336300,0 days 00:03:09.614712,tanh,64,0.1,0.0009205501411738283,0.95,0.95,1.0106734935406843e-05,constant,0.3,1,8,small,0.2657552076372359,COMPLETE
20,20,-499.0,2022-08-17 20:40:04.362753,2022-08-17 20:43:11.170855,0 days 00:03:06.808102,tanh,128,0.4,0.01723439320550994,1.0,0.999,0.0001660957611318291,constant,5.0,10,512,large,0.3641281920835977,PRUNED
21,21,25.00000037252903,2022-08-17 20:43:11.183444,2022-08-17 20:46:59.033946,0 days 00:03:47.850502,relu,64,0.3,0.005097801359596101,0.92,0.98,0.01707879889714858,linear,1.0,5,256,small,0.7917192870604328,COMPLETE
22,22,36.54590545224492,2022-08-17 20:46:59.060187,2022-08-17 20:50:59.992233,0 days 00:04:00.932046,tanh,64,0.3,0.09801555901614024,0.8,0.9,0.0029828371166856662,linear,2.0,5,128,small,0.49747121204342154,COMPLETE
23,23,25.00000037252903,2022-08-17 20:51:00.020420,2022-08-17 20:54:29.791264,0 days 00:03:29.770844,tanh,64,0.3,0.08746140491917867,0.8,0.9,0.0024691974652782584,linear,2.0,1,128,small,0.4993371352016347,COMPLETE
24,24,-313.11646722778676,2022-08-17 20:54:29.820149,2022-08-17 20:56:59.238082,0 days 00:02:29.417933,tanh,64,0.3,7.686462418124146e-05,0.8,0.9,0.0012567425572978898,constant,2.0,1,2048,small,0.6469263310096891,PRUNED
