,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_lr_schedule,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
0,0,-87.07686478061369,2022-08-17 23:53:44.051503,2022-08-18 00:01:34.063216,0 days 00:07:50.011713,relu,256,0.1,0.005777343354632977,0.92,0.9999,7.748039956193578e-05,constant,1.0,20,1024,large,0.14317137336618968,COMPLETE
1,1,-498.0,2022-08-18 00:01:34.098732,2022-08-18 00:40:44.405816,0 days 00:39:10.307084,relu,16,0.4,0.0042785837774329885,0.95,0.995,8.408767193716373e-05,linear,0.5,10,8,large,0.5285107709791229,PRUNED
2,2,-498.0,2022-08-18 00:40:44.420194,2022-08-18 00:47:54.271342,0 days 00:07:09.851148,tanh,16,0.3,1.2195654600088703e-05,0.8,0.9,0.11453366706509042,linear,0.8,1,1024,small,0.9924511898936874,PRUNED
3,3,12.77635583342053,2022-08-18 00:47:54.283006,2022-08-18 00:59:59.469466,0 days 00:12:05.186460,relu,512,0.1,0.000389115751030562,0.92,0.95,0.0012331369511990244,constant,2.0,10,32,small,0.9201438253598407,COMPLETE
4,4,-499.0,2022-08-18 00:59:59.494343,2022-08-18 01:07:06.102013,0 days 00:07:06.607670,relu,512,0.1,0.0002985909841824223,0.99,0.999,1.789811842808712e-05,linear,1.0,20,128,small,0.33170521253292584,PRUNED
5,5,-160.2430391904665,2022-08-18 01:07:06.113423,2022-08-18 01:32:48.426841,0 days 00:25:42.313418,tanh,256,0.2,0.0160469190784887,0.99,0.95,0.0005379918182346518,constant,0.3,20,16,small,0.28891358282435753,PRUNED
6,6,25.00000037252903,2022-08-18 01:32:48.437213,2022-08-18 01:41:01.640222,0 days 00:08:13.203009,relu,256,0.4,5.323664445988075e-06,0.99,0.995,5.0871082713248585e-05,linear,2.0,20,128,small,0.4574601105465482,COMPLETE
7,7,25.00000037252903,2022-08-18 01:41:01.674423,2022-08-18 01:52:11.975038,0 days 00:11:10.300615,tanh,64,0.1,0.00012125655535811368,0.9,0.9,2.1844495289618797e-05,linear,0.7,10,32,small,0.4364009482605945,COMPLETE
8,8,-132.64930072128772,2022-08-18 01:52:12.002640,2022-08-18 02:05:01.571883,0 days 00:12:49.569243,relu,32,0.1,0.03309017345408274,0.8,0.98,0.002327591386946081,linear,0.5,10,1024,large,0.8066650756967947,PRUNED
9,9,25.00000037252903,2022-08-18 02:05:01.585244,2022-08-18 02:10:02.315860,0 days 00:05:00.730616,tanh,512,0.3,0.00015969939406665292,0.99,0.98,0.0008316845811126495,constant,5.0,1,64,large,0.09444642373072454,COMPLETE
10,10,25.00000037252903,2022-08-18 02:10:02.339423,2022-08-18 02:16:31.072942,0 days 00:06:28.733519,relu,128,0.4,1.2545416454955484e-07,1.0,0.995,0.01872773820753874,linear,2.0,5,128,medium,0.6565045441135119,COMPLETE
11,11,25.00000037252903,2022-08-18 02:16:31.098218,2022-08-18 02:23:03.470666,0 days 00:06:32.372448,tanh,64,0.4,1.826288272798326e-06,0.9,0.9,1.0099262942864035e-05,linear,0.7,5,256,small,0.44040218500414746,COMPLETE
12,12,-308.3199998646975,2022-08-18 02:23:03.501917,2022-08-18 02:33:06.293610,0 days 00:10:02.791693,tanh,64,0.2,1.5679335664282038e-06,0.98,0.99,9.880790563588176e-05,linear,0.6,20,2048,medium,0.6225938875888406,PRUNED
13,13,44.542503854048846,2022-08-18 02:33:06.307200,2022-08-18 03:00:11.204216,0 days 00:27:04.897016,tanh,8,0.4,4.4778667339541875e-08,0.9,0.9,0.00017192789373503945,linear,0.7,10,32,small,0.33391403296056327,COMPLETE
14,14,27.04346352927387,2022-08-18 03:00:11.238435,2022-08-18 03:26:28.956762,0 days 00:26:17.718327,tanh,8,0.4,1.1922823589416176e-08,0.9,0.995,0.0002022262764691557,linear,0.9,10,512,small,0.2442957668789457,COMPLETE
15,15,-499.0,2022-08-18 03:26:28.996191,2022-08-18 03:49:38.985288,0 days 00:23:09.989097,tanh,8,0.4,2.2111756935531573e-08,0.9,0.99,0.013207634906653049,linear,0.9,10,512,small,0.2200363048864126,PRUNED
16,16,-196.16809141953127,2022-08-18 03:49:38.995230,2022-08-18 04:18:42.050154,0 days 00:29:03.054924,tanh,8,0.4,1.5113949496917274e-08,0.9,0.999,0.00028307466527247537,linear,0.9,10,512,medium,0.05325410081014462,PRUNED
17,17,-499.0,2022-08-18 04:18:42.061973,2022-08-18 04:40:16.141837,0 days 00:21:34.079864,tanh,8,0.4,1.953135210061088e-07,0.9,0.9999,0.010202306880148605,linear,0.9,10,512,small,0.3158520747312861,PRUNED
18,18,-499.0,2022-08-18 04:40:16.158375,2022-08-18 05:03:55.898500,0 days 00:23:39.740125,tanh,8,0.4,1.5907324012348367e-07,0.98,0.995,0.0002906807631338295,constant,0.7,10,32,small,0.011483812756633377,PRUNED
19,19,-499.0,2022-08-18 05:03:55.913563,2022-08-18 05:23:50.451849,0 days 00:19:54.538286,tanh,8,0.2,5.0748461948089275e-08,0.95,0.9,0.5023713166263236,linear,0.6,5,8,medium,0.2426183394048272,PRUNED
20,20,-499.0,2022-08-18 05:23:50.465297,2022-08-18 05:27:35.311032,0 days 00:03:44.845735,tanh,128,0.3,6.284833908755155e-07,1.0,0.995,0.004257978358481615,linear,0.8,1,2048,small,0.16472275559270705,PRUNED
21,21,25.00000037252903,2022-08-18 05:27:35.326343,2022-08-18 05:33:18.059725,0 days 00:05:42.733382,relu,128,0.4,1.0444333652404484e-07,1.0,0.995,0.04083162908622471,linear,2.0,5,128,medium,0.6738019408221745,COMPLETE
22,22,25.00000037252903,2022-08-18 05:33:18.083250,2022-08-18 05:39:07.438523,0 days 00:05:49.355273,relu,128,0.4,1.0603713943314347e-08,1.0,0.995,0.05238811998264204,linear,0.3,5,256,medium,0.706015869000625,COMPLETE
23,23,25.00000037252903,2022-08-18 05:39:07.473657,2022-08-18 05:45:45.420435,0 days 00:06:37.946778,tanh,64,0.4,9.884470673073754e-07,0.9,0.9,1.346454919609895e-05,linear,0.7,5,256,small,0.3789791166744482,COMPLETE
24,24,39.356736338333576,2022-08-18 05:45:45.452951,2022-08-18 05:55:14.812616,0 days 00:09:29.359665,tanh,32,0.4,4.764502123320026e-06,0.9,0.9,0.00023259963609060247,linear,0.7,5,256,small,0.5372890300889903,COMPLETE
25,25,10.832684487765073,2022-08-18 05:55:14.841489,2022-08-18 06:06:34.061679,0 days 00:11:19.220190,tanh,32,0.4,3.157159552554856e-05,0.9,0.9,0.00020197724524707438,linear,0.7,10,256,small,0.5483652322689684,PRUNED
26,26,37.321055594159404,2022-08-18 06:06:34.079597,2022-08-18 06:23:15.477788,0 days 00:16:41.398191,tanh,32,0.4,4.015366946595978e-08,0.9,0.9,4.159913177142857e-05,linear,5.0,10,16,small,0.3761742108321139,COMPLETE
27,27,36.11974291275256,2022-08-18 06:23:15.501557,2022-08-18 06:34:15.958889,0 days 00:11:00.457332,tanh,32,0.4,5.030383479643637e-07,0.9,0.9,3.199686505523929e-05,constant,5.0,5,16,small,0.5707304670733546,COMPLETE
28,28,38.75780333071016,2022-08-18 06:34:15.987852,2022-08-18 06:41:54.854846,0 days 00:07:38.866994,tanh,32,0.2,5.82276653778503e-06,0.9,0.9,0.002436438312689972,linear,5.0,1,16,small,0.41654027877704847,COMPLETE
29,29,-499.0,2022-08-18 06:41:54.881123,2022-08-18 06:43:51.410173,0 days 00:01:56.529050,tanh,32,0.2,6.030655285596838e-06,0.92,0.9999,0.0029429844693260715,constant,5.0,1,64,large,0.809468865356263,PRUNED
30,30,35.16655792295933,2022-08-18 06:43:51.420048,2022-08-18 06:50:39.953651,0 days 00:06:48.533603,tanh,32,0.2,0.0017015610681178303,0.9,0.9,0.0005454251853110255,linear,0.7,1,32,small,0.49494496757400175,COMPLETE
31,31,25.00000037252903,2022-08-18 06:50:39.981428,2022-08-18 06:56:43.595004,0 days 00:06:03.613576,tanh,32,0.2,3.251400056086659e-05,0.9,0.9,0.00011996766357973291,linear,5.0,1,16,small,0.3917113335543733,COMPLETE
