,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_lr_schedule,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
0,0,-499.0,2022-08-18 21:34:31.446905,2022-08-18 21:58:21.790408,0 days 00:23:50.343503,tanh,256,0.2,0.05796588485088977,0.95,0.98,0.6614991198401987,linear,0.5,10,256,large,0.7226926411651167,COMPLETE
1,1,28.39784538145177,2022-08-18 21:58:22.290780,2022-08-18 22:25:37.110031,0 days 00:27:14.819251,tanh,16,0.1,0.0007657224848202295,0.92,0.95,1.556662634676461e-05,linear,0.8,5,32,large,0.9251630975943719,COMPLETE
2,2,25.00000037252903,2022-08-18 22:25:37.334408,2022-08-18 22:51:04.548860,0 days 00:25:27.214452,tanh,128,0.1,3.138816359696717e-05,0.8,0.999,0.0021581731009970087,linear,0.7,10,32,medium,0.30448941188302314,COMPLETE
3,3,,2022-08-18 22:51:04.710438,,,tanh,8,0.1,1.2171361826506521e-07,0.92,0.9,0.00023372295480985275,constant,1.0,20,256,small,0.824592355094677,RUNNING
4,4,-294.03999985456466,2022-08-18 23:31:07.324921,2022-08-19 00:06:07.827065,0 days 00:35:00.502144,tanh,512,0.4,2.3305824244541443e-05,0.9,0.99,0.000464937102387452,constant,0.7,20,64,medium,0.9423793593577839,PRUNED
5,5,,2022-08-19 00:06:08.026637,,,relu,512,0.4,1.6987338411569526e-06,0.8,0.98,0.0029547820384546062,constant,0.8,5,2048,medium,0.4187231204013193,RUNNING
6,6,-499.0,2022-08-19 08:03:16.453887,2022-08-19 08:06:50.567643,0 days 00:03:34.113756,tanh,64,0.1,1.3997664056439134e-07,0.98,0.995,0.2425316462836487,linear,1.0,1,32,small,0.785682324516444,PRUNED
7,7,-499.0,2022-08-19 08:06:50.741310,2022-08-19 08:23:03.024712,0 days 00:16:12.283402,relu,512,0.1,9.760935368434038e-05,0.9,0.98,0.01211220615026689,linear,0.6,5,16,large,0.6831294345534121,PRUNED
8,8,-499.0,2022-08-19 08:23:03.633608,2022-08-19 08:29:04.061600,0 days 00:06:00.427992,tanh,16,0.3,0.0006222921594075779,0.95,0.9999,0.16255719411956607,linear,2.0,1,256,small,0.16136248975661138,PRUNED
9,9,25.00000037252903,2022-08-19 08:29:04.144149,2022-08-19 08:40:06.721711,0 days 00:11:02.577562,relu,512,0.4,0.08791072159578017,0.95,0.95,0.02283586382621957,linear,0.8,1,32,medium,0.8632907089279324,COMPLETE
10,10,-499.0,2022-08-19 08:40:07.406445,2022-08-19 09:14:26.194941,0 days 00:34:18.788496,relu,8,0.4,3.249683516822271e-05,1.0,0.98,0.13181881538121829,constant,0.7,5,32,small,0.486796464453751,PRUNED
11,11,-499.0,2022-08-19 09:14:26.327305,2022-08-19 09:21:17.556705,0 days 00:06:51.229400,relu,256,0.1,4.737608295174212e-08,0.99,0.995,0.03789698754370387,linear,0.7,1,2048,small,0.9592660035705589,PRUNED
12,12,,2022-08-19 09:21:17.673475,,,tanh,16,0.2,0.0023807842910544105,0.92,0.95,1.7489757742713012e-05,constant,5.0,5,8,large,0.5644619499379896,RUNNING
13,13,40.80903737889603,2022-08-19 09:46:13.487610,2022-08-19 10:29:20.533368,0 days 00:43:07.045758,tanh,16,0.2,0.0025285472031387297,0.92,0.95,1.1094589971487388e-05,constant,0.9,5,8,large,0.5315415715224987,COMPLETE
14,14,38.253431057790294,2022-08-19 10:29:20.720732,2022-08-19 11:12:55.120016,0 days 00:43:34.399284,tanh,16,0.2,0.0025711580076609873,0.92,0.95,1.028741455574891e-05,constant,0.9,5,8,large,0.5272788596356,COMPLETE
15,15,,2022-08-19 11:12:55.783726,,,tanh,16,0.2,0.005133872071583266,0.92,0.95,1.104085780150234e-05,constant,0.9,5,8,large,0.5351705296289009,RUNNING
