,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_rate,params_learning_starts,params_lr_schedule,params_net_arch,params_subsample_steps,params_target_update_interval,params_train_freq,state
0,0,25.00000037252903,2022-08-22 08:43:49.909997,2022-08-22 08:47:51.057622,0 days 00:04:01.147625,64,1000000,0.1049205386496198,0.03601580938000637,0.995,0.1976023434352102,0,constant,small,4,1000,8,COMPLETE
1,1,25.00000037252903,2022-08-22 08:47:51.103748,2022-08-22 08:53:32.632752,0 days 00:05:41.529004,64,100000,0.13001707631155332,0.15160666380938337,0.99,0.7266608525932543,20000,linear,large,8,15000,1,COMPLETE
2,2,25.00000037252903,2022-08-22 08:53:32.654583,2022-08-22 08:59:13.165043,0 days 00:05:40.510460,128,1000000,0.06575264509047689,0.4414154945102493,0.995,2.4796952925464558e-05,5000,linear,small,1,10000,4,COMPLETE
3,3,25.00000037252903,2022-08-22 08:59:13.187131,2022-08-22 09:04:53.265042,0 days 00:05:40.077911,512,10000,0.11604638675122668,0.21497927831055147,0.9999,0.1351889885058078,10000,constant,medium,1,10000,256,COMPLETE
4,4,25.00000037252903,2022-08-22 09:04:53.294195,2022-08-22 09:11:09.917612,0 days 00:06:16.623417,256,100000,0.13167430326932228,0.41780513825181376,0.9,0.21046132508656326,0,linear,medium,1,10000,16,COMPLETE
5,5,-140.10890084011044,2022-08-22 09:11:09.943911,2022-08-22 09:17:22.441886,0 days 00:06:12.497975,16,1000000,0.19970937132847166,0.026568934199635297,0.9,0.0008047060764509838,1000,constant,small,4,1000,1000,PRUNED
6,6,35.12861847929453,2022-08-22 09:17:22.454037,2022-08-22 09:28:30.086107,0 days 00:11:07.632070,128,50000,0.07689560801278102,0.3845723436546237,0.95,0.000586197852300552,0,linear,large,1,1,16,COMPLETE
7,7,15.611935107357567,2022-08-22 09:28:30.114004,2022-08-22 09:37:57.587401,0 days 00:09:27.473397,256,50000,0.06386877314345284,0.26420060680977286,0.99,6.292644717605304e-05,0,linear,large,2,20000,1000,PRUNED
8,8,25.00000037252903,2022-08-22 09:37:57.596706,2022-08-22 09:42:44.344781,0 days 00:04:46.748075,32,1000000,0.17423985268637948,0.24817148739128236,0.95,1.0842308139469099e-05,0,constant,large,4,5000,256,COMPLETE
9,9,25.00000037252903,2022-08-22 09:42:44.374340,2022-08-22 09:49:39.844522,0 days 00:06:55.470182,512,10000,0.1558015874873856,0.4641920710908691,0.99,0.7611295316454638,1000,constant,small,8,10000,1,COMPLETE
10,10,25.00000037252903,2022-08-22 09:49:39.877407,2022-08-22 09:54:28.997283,0 days 00:04:49.119876,100,50000,0.01080888391345626,0.34542906335344126,0.95,0.00339354985837304,20000,linear,large,2,1,16,COMPLETE
11,11,-499.0,2022-08-22 09:54:29.023557,2022-08-22 09:56:35.797295,0 days 00:02:06.773738,64,50000,0.08179008012978443,0.018878633875809403,0.995,0.00783361488955054,0,constant,small,4,1,8,PRUNED
12,12,33.50975934166345,2022-08-22 09:56:35.806680,2022-08-22 10:08:19.665194,0 days 00:11:43.858514,128,1000000,0.016364553331003465,0.1135450335662303,0.999,0.00040296287757212655,0,linear,large,1,1000,8,COMPLETE
13,13,29.952272578212433,2022-08-22 10:08:19.692926,2022-08-22 10:18:56.582366,0 days 00:10:36.889440,128,50000,0.0007360852716873298,0.12146884770106359,0.999,0.00026405453591245775,5000,linear,large,1,1,128,COMPLETE
14,14,35.31977253160439,2022-08-22 10:18:56.611020,2022-08-22 10:30:30.437754,0 days 00:11:33.826734,128,1000000,0.034256055688676124,0.31747938042510343,0.999,0.0004317735133736205,10000,linear,large,1,1000,8,COMPLETE
15,15,34.01419438412995,2022-08-22 10:30:30.463842,2022-08-22 10:41:03.029515,0 days 00:10:32.565673,128,50000,0.04074175297342621,0.3506933168665185,0.98,0.015894826460960073,10000,linear,large,1,20000,16,COMPLETE
16,16,36.005179122886695,2022-08-22 10:41:03.059244,2022-08-22 10:51:24.523294,0 days 00:10:21.464050,128,10000,0.04473823647159202,0.353394322733437,0.999,0.00010478231907845627,10000,linear,large,1,5000,128,COMPLETE
17,17,34.92309970334172,2022-08-22 10:51:24.552573,2022-08-22 11:01:33.876025,0 days 00:10:09.323452,100,10000,0.03834812823709527,0.31952297420737746,0.999,9.296639215593291e-05,10000,linear,medium,1,5000,128,COMPLETE
18,18,32.6660792786628,2022-08-22 11:01:33.899443,2022-08-22 11:09:50.988367,0 days 00:08:17.088924,32,10000,0.04036204515694503,0.2973400327754847,0.999,0.00012165687519701839,10000,linear,large,2,5000,128,COMPLETE
19,19,31.64683634684916,2022-08-22 11:09:51.017456,2022-08-22 11:16:21.254661,0 days 00:06:30.237205,16,10000,0.023389255385083955,0.1937706030551519,0.999,0.0021189445220906127,10000,linear,large,8,15000,8,COMPLETE
20,20,33.94942726975423,2022-08-22 11:16:21.280516,2022-08-22 11:26:01.071808,0 days 00:09:39.791292,128,100000,0.05627507354479037,0.4872257358661106,0.9999,3.1858857523047544e-05,10000,linear,medium,1,5000,4,COMPLETE
21,21,35.798709871270695,2022-08-22 11:26:01.101434,2022-08-22 11:37:20.005536,0 days 00:11:18.904102,128,1000000,0.08060733236046465,0.3806019315060354,0.95,0.0005406146763558272,10000,linear,large,1,1000,128,COMPLETE
22,22,35.56756444888306,2022-08-22 11:37:20.035375,2022-08-22 11:48:43.241054,0 days 00:11:23.205679,128,1000000,0.08865754710760947,0.3887631429148802,0.98,0.0015563728423950455,10000,linear,large,1,1000,128,COMPLETE
23,23,34.09370895481261,2022-08-22 11:48:43.265449,2022-08-22 12:00:14.813617,0 days 00:11:31.548168,128,1000000,0.09159954266861167,0.3903383844446432,0.98,0.0015313842963617385,10000,linear,large,1,1000,128,COMPLETE
24,24,26.669456329818058,2022-08-22 12:00:14.846695,2022-08-22 12:08:37.388639,0 days 00:08:22.541944,128,1000000,0.08941158316410111,0.3900232540651772,0.98,0.012484290281815316,10000,linear,large,1,1000,128,PRUNED
25,25,35.59520900297794,2022-08-22 12:08:37.402733,2022-08-22 12:18:59.465510,0 days 00:10:22.062777,128,10000,0.05411512942169328,0.42325507053379147,0.95,0.00020205057664365316,10000,linear,large,1,1000,128,COMPLETE
26,26,36.07313226531842,2022-08-22 12:18:59.493574,2022-08-22 12:28:58.607370,0 days 00:09:59.113796,128,10000,0.05118768463269875,0.4335479884315323,0.95,0.00015635022145638275,20000,linear,large,1,5000,128,COMPLETE
27,27,33.30482656284876,2022-08-22 12:28:58.637815,2022-08-22 12:37:41.120456,0 days 00:08:42.482641,100,10000,0.11107323473390318,0.4915572656685114,0.95,5.5062194285066926e-05,20000,linear,large,2,5000,128,PRUNED
28,28,-499.0,2022-08-22 12:37:41.131298,2022-08-22 12:40:13.304454,0 days 00:02:32.173156,32,10000,0.07091935529065466,0.3594476573662131,0.95,1.0989301067592282e-05,20000,linear,medium,8,5000,128,PRUNED
29,29,27.998424564413654,2022-08-22 12:40:13.317760,2022-08-22 12:48:59.692819,0 days 00:08:46.375059,256,10000,0.052230657491195376,0.44781496094066603,0.95,0.00018023391402218036,20000,constant,large,4,5000,128,PRUNED
