,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_alpha,params_batch_size,params_beta,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_lr_schedule,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
0,0,0.0,2022-08-19 18:59:55.576807,2022-08-19 19:09:55.074504,0 days 00:09:59.497697,relu,0.6166726221093753,16,0.03238114152664562,0.4,2.4359235714478576e-08,0.8,0.9999,0.8578381202609855,constant,0.3,5,32,medium,0.777778208096534,COMPLETE
1,1,0.0,2022-08-19 19:09:55.111867,2022-08-19 19:18:18.699783,0 days 00:08:23.587916,relu,0.35003853700976717,512,0.83125436991601,0.2,2.2084324102520846e-06,0.92,0.98,1.6538611379036833e-05,constant,0.9,20,512,small,0.9195258649244783,COMPLETE
2,2,0.43508498796908085,2022-08-19 19:18:18.729156,2022-08-19 20:17:44.745918,0 days 00:59:26.016762,tanh,0.8690011793777341,512,0.05878121879429277,0.4,2.568503638288301e-07,0.8,0.995,7.300376518968603e-05,constant,0.7,20,8,medium,0.3999099105469852,COMPLETE
3,3,0.0,2022-08-19 20:17:44.771664,2022-08-19 20:21:55.834176,0 days 00:04:11.062512,tanh,0.7098318580165381,64,0.8938961555606091,0.4,0.021876065590754144,0.95,0.9,0.06810699397939167,linear,0.8,1,128,small,0.3077923334836714,COMPLETE
4,4,0.0,2022-08-19 20:21:55.858858,2022-08-19 20:29:27.924329,0 days 00:07:32.065471,relu,0.295250614010646,16,0.7367222103869703,0.3,1.2634670186138681e-06,1.0,0.995,0.0002877495805067496,linear,2.0,1,512,large,0.5993341590774964,COMPLETE
5,5,0.0,2022-08-19 20:29:27.954495,2022-08-19 20:37:33.835689,0 days 00:08:05.881194,relu,0.5623081278324645,512,0.4691937800928502,0.2,0.01567024857616661,0.92,0.95,0.0012829362030991884,constant,1.0,1,1024,small,0.7525584825355272,COMPLETE
6,6,0.0,2022-08-19 20:37:33.862317,2022-08-19 20:42:52.404140,0 days 00:05:18.541823,tanh,0.4083934274335058,512,0.08229697595638896,0.3,0.00015853927051871232,0.99,0.999,1.7442885352311382e-05,linear,0.8,1,1024,medium,0.275922372588953,COMPLETE
7,7,0.0,2022-08-19 20:42:52.431597,2022-08-19 21:07:35.886737,0 days 00:24:43.455140,relu,0.03306018782503173,256,0.5961264358087567,0.1,5.031181588092573e-06,0.99,0.95,0.012631430316896244,linear,0.8,10,16,medium,0.8256901403447151,COMPLETE
8,8,0.0,2022-08-19 21:07:35.915589,2022-08-19 21:16:18.509369,0 days 00:08:42.593780,relu,0.015770618238115208,32,0.9529902447675476,0.1,1.493885654457061e-05,1.0,0.98,0.0029906974905479023,linear,0.7,1,16,small,0.24442613248421008,COMPLETE
9,9,0.24119087728331423,2022-08-19 21:16:18.532814,2022-08-19 21:27:28.464386,0 days 00:11:09.931572,relu,0.8637371372829211,256,0.5546850347755461,0.2,1.6862603869503436e-06,0.8,0.95,0.005454518086184405,linear,0.8,5,256,small,0.052574001436252904,COMPLETE
