,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_rate,params_learning_starts,params_lr_schedule,params_net_arch,params_subsample_steps,params_target_update_interval,params_train_freq,state
0,0,0.5484460694698355,2022-08-20 15:49:17.458656,2022-08-20 17:04:20.100498,0 days 01:15:02.641842,0.33093107549731327,512,0.898287522381096,50000,0.03357442570975962,0.11162554212383685,0.9999,2.2181069874186088e-05,5000,linear,medium,1,10000,1,COMPLETE
1,1,0.1405152224824356,2022-08-20 17:04:20.132619,2022-08-20 17:53:07.692195,0 days 00:48:47.559576,0.9220032421089167,100,0.8423084323987172,1000000,0.1201681579348979,0.012621438708061483,0.9999,0.0002715208758017026,20000,constant,medium,2,20000,16,PRUNED
2,2,0.13176470588235295,2022-08-20 17:53:07.700391,2022-08-20 18:59:15.232659,0 days 01:06:07.532268,0.77075308626554,64,0.3510022613414481,10000,0.01007545073512921,0.139400906603655,0.9999,4.364726364427135e-05,20000,linear,large,8,15000,4,PRUNED
3,3,0.0,2022-08-20 18:59:15.241626,2022-08-20 20:04:04.768648,0 days 01:04:49.527022,0.6139543160997988,100,0.27149918507741166,10000,0.012790748852521072,0.034007291963672304,0.9,0.01495458203913954,20000,constant,small,8,10000,1,PRUNED
4,4,0.0,2022-08-20 20:04:04.781808,2022-08-20 21:11:12.584589,0 days 01:07:07.802781,0.5604152739070654,128,0.4255631153481738,50000,0.002149802817825486,0.1919098920726181,0.999,1.262635022098645e-05,20000,linear,large,4,1000,8,PRUNED
5,5,0.0,2022-08-20 21:11:12.597066,2022-08-20 22:13:56.120824,0 days 01:02:43.523758,0.9040315653203002,256,0.3850974776919266,1000000,0.1992004727908105,0.28310900472317146,0.9,0.19135306922387119,5000,linear,large,2,15000,1,PRUNED
6,6,0.010025062656641605,2022-08-20 22:13:56.132248,2022-08-20 23:24:58.034853,0 days 01:11:01.902605,0.9621697153098108,64,0.6853055320265159,50000,0.025525030253960957,0.028983008368108798,0.9,1.157627581342245e-05,20000,constant,small,2,15000,4,PRUNED
7,7,0.5269016697588126,2022-08-20 23:24:58.050223,2022-08-21 00:13:26.798554,0 days 00:48:28.748331,0.22817974313452472,512,0.08628350219596348,50000,0.015118406434436626,0.08554283248463673,0.999,0.0021965597562048802,5000,constant,medium,2,20000,4,PRUNED
8,8,0.0,2022-08-21 00:13:26.808957,2022-08-21 00:38:40.249354,0 days 00:25:13.440397,0.7762249093895329,256,0.09946715558334829,1000000,0.19137624477891738,0.3088328812842879,0.995,0.0038170429880864556,0,linear,large,2,1000,16,PRUNED
9,9,0.5745062836624776,2022-08-21 00:38:40.258370,2022-08-21 01:42:57.625424,0 days 01:04:17.367054,0.3462015453698092,512,0.6108460908476072,1000000,0.19205293713089516,0.3082732837231717,0.999,1.8760313147295875e-05,10000,linear,small,2,20000,1,COMPLETE
