,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_alpha,params_batch_size,params_beta,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_lr_schedule,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
0,0,,2022-09-11 16:51:59.677310,2022-09-11 21:47:07.141851,0 days 04:55:07.464541,tanh,0.4314663406782555,8,0.5875786741454108,0.4,5.4818962804081035e-08,0.8,0.995,0.030528984023094848,constant,0.9,10,32,large,0.36113474265780154,PRUNED
1,1,0.0,2022-09-11 21:47:07.158539,2022-09-12 05:17:15.245648,0 days 07:30:08.087109,tanh,0.01731101469898033,64,0.3446203469026513,0.2,2.414664540319596e-06,0.98,0.98,0.5817558269651291,constant,5.0,20,8,small,0.13019253747712978,COMPLETE
2,2,0.0,2022-09-12 05:17:15.264331,2022-09-12 07:03:20.597485,0 days 01:46:05.333154,relu,0.18366470580346506,64,0.3822541869355842,0.1,5.228065593401738e-05,1.0,0.999,0.008299214012500056,constant,0.8,10,2048,small,0.10137431968125377,COMPLETE
3,3,0.6462791359351562,2022-09-12 07:03:20.614880,2022-09-12 10:13:14.973276,0 days 03:09:54.358396,tanh,0.9606306856367558,64,0.07044226889838967,0.2,6.35821022184794e-06,0.8,0.95,6.917893966979161e-05,constant,0.8,5,32,large,0.6286464685466763,COMPLETE
4,4,0.802425926928084,2022-09-12 10:13:14.995811,2022-09-12 12:20:30.041647,0 days 02:07:15.045836,tanh,0.25604804741234743,32,0.1600561592582812,0.2,0.00027269066316741597,0.98,0.95,0.0005486194686194325,constant,0.3,1,32,small,0.4880963587803341,COMPLETE
5,5,0.7959729811530263,2022-09-12 12:20:30.059261,2022-09-12 15:12:03.711657,0 days 02:51:33.652396,tanh,0.2706659837528672,16,0.7154268731910336,0.3,0.004625309386799996,0.8,0.999,7.951709734577652e-05,linear,5.0,5,32,small,0.20738318500615915,COMPLETE
6,6,0.0,2022-09-12 15:12:03.728831,2022-09-12 19:50:08.104202,0 days 04:38:04.375371,tanh,0.7358781103387311,8,0.5069879764694744,0.4,2.377631635769019e-06,0.8,0.995,0.055374906490299934,linear,0.6,5,2048,medium,0.03872988527574872,COMPLETE
7,7,0.0,2022-09-12 19:50:08.123098,2022-09-12 22:03:42.691022,0 days 02:13:34.567924,tanh,0.09873464615554106,128,0.15787223992793964,0.3,0.07279768750305067,1.0,0.98,0.21595905295846557,linear,0.5,20,128,large,0.6399467869343516,COMPLETE
8,8,0.5152667779771577,2022-09-12 22:03:42.710333,2022-09-13 00:30:22.024366,0 days 02:26:39.314033,tanh,0.2841994688391235,256,0.7602882249937535,0.1,0.000127070886287301,0.92,0.99,0.002706393466572599,linear,0.6,1,2048,medium,0.26343362015501826,COMPLETE
9,9,0.0,2022-09-13 00:30:22.046629,2022-09-13 01:28:16.690030,0 days 00:57:54.643401,tanh,0.40694108333397994,128,0.15088451912509482,0.4,0.020362914164192936,0.9,0.95,0.004497949225521225,linear,0.9,10,128,medium,0.13516804480358502,COMPLETE
10,10,0.0,2022-09-13 01:28:16.706870,2022-09-13 03:40:13.474484,0 days 02:11:56.767614,relu,0.6046994387148235,32,0.977753100287587,0.2,0.0006979746820521907,0.98,0.9,1.093823140369118e-05,constant,0.3,1,512,small,0.8515415854969952,COMPLETE
11,11,,2022-09-13 03:40:13.494097,2022-09-13 04:11:30.026469,0 days 00:31:16.532372,relu,0.26144082220313114,16,0.7663042836452166,0.3,0.0012540497384117603,0.95,0.999,0.0003824139126883222,linear,0.7,5,32,small,0.45199990509432414,PRUNED
12,12,0.0,2022-09-13 04:11:30.038972,2022-09-13 06:39:33.444855,0 days 02:28:03.405883,tanh,0.35719828055161107,16,0.7060029750052061,0.3,0.006386695632231787,0.99,0.9999,0.00034006404653694764,constant,2.0,1,256,small,0.5736090077115882,COMPLETE
13,13,0.5724936722593523,2022-09-13 06:39:33.464352,2022-09-13 08:53:13.561308,0 days 02:13:40.096956,tanh,0.6100318791346002,512,0.9624866454827856,0.2,0.0006047822881252909,0.98,0.95,0.0002923981406297062,linear,0.3,1,64,small,0.967484540027375,COMPLETE
14,14,0.0017646175031950178,2022-09-13 08:53:13.580363,2022-09-13 11:26:17.561368,0 days 02:33:03.981005,tanh,0.15486711417642157,32,0.2885258238011069,0.3,0.00387766724827091,0.92,0.999,1.174643828870409e-05,linear,1.0,5,1024,small,0.2573811090961127,COMPLETE
15,15,0.004552814845138293,2022-09-13 11:26:17.582809,2022-09-13 13:44:11.473613,0 days 02:17:53.890804,relu,0.5521196612057445,32,0.6256151156407612,0.2,1.1858021681825326e-08,0.99,0.9999,6.112384207055318e-05,constant,5.0,1,16,small,0.7891797799176704,COMPLETE
16,16,0.7132781078712273,2022-09-13 13:44:11.491298,2022-09-13 16:54:06.969692,0 days 03:09:55.478394,tanh,0.27483021270629315,16,0.8669548309288421,0.3,0.0001291873699936167,0.95,0.9,0.0007587305709257673,constant,0.3,5,32,small,0.43563390706792554,COMPLETE
17,17,0.8612232880407092,2022-09-13 16:54:06.990184,2022-09-13 20:32:32.046815,0 days 03:38:25.056631,tanh,0.7262653597704154,256,0.020056458404644206,0.1,1.188753445372626e-05,0.9,0.99,9.62098585048348e-05,linear,5.0,20,32,small,0.2906852311125666,COMPLETE
18,18,,2022-09-13 20:32:32.064981,2022-09-13 20:56:08.767915,0 days 00:23:36.702934,relu,0.787868141789151,256,0.013648395470216389,0.1,3.0302204564512097e-07,0.9,0.99,0.002019768221630361,linear,1.0,20,1024,large,0.38371105498493097,PRUNED
19,19,0.7196915329178297,2022-09-13 20:56:08.778129,2022-09-13 23:33:46.569857,0 days 02:37:37.791728,tanh,0.9385958789796515,256,0.2238265216072936,0.1,8.688836648956394e-06,0.9,0.99,0.0001141483731464373,constant,0.7,20,512,medium,0.5358231045186083,COMPLETE
