,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_lr_schedule,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
0,0,1332.7758498802782,2023-04-01 05:27:52.799980,2023-04-01 07:28:39.475650,0 days 02:00:46.675670,tanh,64,0.3,0.00028723364354548656,0.92,0.95,0.3576920400837205,linear,0.5,10,128,large,0.37335857095555947,COMPLETE
1,1,1340.4249059480926,2023-04-01 07:28:39.506751,2023-04-01 08:11:27.407480,0 days 00:42:47.900729,tanh,64,0.3,7.999872785098573e-07,1.0,0.9,0.005438339892434311,linear,0.3,10,2048,small,0.5469888892144046,COMPLETE
2,2,1319.545992915829,2023-04-01 08:11:27.429722,2023-04-01 09:10:11.741329,0 days 00:58:44.311607,tanh,128,0.3,2.8568961673652278e-06,0.95,0.995,0.0003509846175248512,constant,0.3,1,256,medium,0.024106332319224988,COMPLETE
3,3,1296.0651416624585,2023-04-01 09:10:11.763963,2023-04-01 10:23:28.124802,0 days 01:13:16.360839,relu,256,0.4,0.013499903120421236,0.95,0.9999,0.47154264289071174,constant,0.5,20,256,medium,0.4474342375417567,COMPLETE
4,4,1345.345071256409,2023-04-01 10:23:28.146339,2023-04-01 11:53:42.412495,0 days 01:30:14.266156,relu,128,0.4,3.622665451290074e-06,0.9,0.95,0.00013666406383672794,linear,2.0,1,128,large,0.39567494270598913,COMPLETE
5,5,1342.1079605725904,2023-04-01 11:53:42.429837,2023-04-01 12:25:53.011918,0 days 00:32:10.582081,tanh,256,0.3,0.021201605101921404,1.0,0.9,7.24227221101337e-05,linear,0.3,1,2048,medium,0.4642087105034223,COMPLETE
6,6,-1000.0,2023-04-01 12:25:53.029678,2023-04-01 16:07:46.082646,0 days 03:41:53.052968,tanh,32,0.2,1.44188941408324e-06,1.0,0.9,0.6825005624407852,linear,0.6,10,256,medium,0.08623948127238934,COMPLETE
7,7,1337.4330953878662,2023-04-01 16:07:46.107854,2023-04-01 17:27:46.641103,0 days 01:20:00.533249,tanh,64,0.3,8.678883066972022e-08,0.98,0.98,1.3003890652838676e-05,linear,0.7,10,256,large,0.6801289478623433,COMPLETE
8,8,1020.8113163799047,2023-04-01 17:27:46.667086,2023-04-01 18:11:23.297637,0 days 00:43:36.630551,tanh,128,0.3,0.08171083248250807,1.0,0.95,0.10217314115956765,constant,2.0,1,2048,large,0.06314439863454513,COMPLETE
9,9,1330.6919023705025,2023-04-01 18:11:23.324738,2023-04-01 19:03:41.608859,0 days 00:52:18.284121,relu,64,0.1,1.7418415142072194e-06,1.0,0.999,0.024729888232078567,linear,0.3,1,512,large,0.5910838464711675,COMPLETE
10,10,1317.9382684290408,2023-04-01 19:03:41.629723,2023-04-01 20:36:52.386612,0 days 01:33:10.756889,relu,512,0.4,0.00016584932372843894,0.9,0.99,0.0007121583760361351,constant,2.0,5,128,small,0.9905916510078415,COMPLETE
11,11,1343.510851743569,2023-04-01 20:36:52.405698,2023-04-01 21:13:50.836877,0 days 00:36:58.431179,relu,256,0.4,0.003699411272306685,0.9,0.9,2.437927517418622e-05,linear,0.8,1,1024,medium,0.28763088414648397,COMPLETE
12,12,1343.5196008376777,2023-04-01 21:13:50.856637,2023-04-01 21:52:32.479162,0 days 00:38:41.622525,relu,128,0.4,0.0007633167209690879,0.9,0.95,2.7029045478046904e-05,linear,0.8,1,1024,large,0.25185246850549714,COMPLETE
13,13,1327.2850085943937,2023-04-01 21:52:32.497708,2023-04-01 22:55:33.925209,0 days 01:03:01.427501,relu,128,0.4,3.605904432162966e-05,0.99,0.95,0.00017208345125740597,linear,0.9,20,1024,large,0.2500103108090811,COMPLETE
14,14,1339.9737468014162,2023-04-01 22:55:33.945593,2023-04-01 23:37:56.183570,0 days 00:42:22.237977,relu,128,0.4,1.8231665629669165e-08,0.9,0.95,0.0016652305615009072,linear,5.0,5,1024,large,0.2301609804194178,COMPLETE
15,15,1344.8199025561412,2023-04-01 23:37:56.201990,2023-04-02 01:07:02.158176,0 days 01:29:05.956186,relu,128,0.2,0.001046118906212491,0.8,0.95,6.550381277783707e-05,linear,1.0,1,128,large,0.8206826979323942,COMPLETE
16,16,1341.261027106891,2023-04-02 01:07:02.178239,2023-04-02 02:45:49.466784,0 days 01:38:47.288545,relu,32,0.2,1.4540339724027135e-05,0.8,0.999,0.00010043303190478088,linear,1.0,1,128,small,0.8058374215665169,COMPLETE
17,17,1314.9340030464034,2023-04-02 02:45:49.488215,2023-04-02 04:26:03.817340,0 days 01:40:14.329125,relu,512,0.2,3.4083813548782126e-05,0.8,0.9999,0.003904518261876308,linear,1.0,1,128,large,0.8109101149763139,COMPLETE
