,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_lr_schedule,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
0,0,100.00000149011612,2022-08-15 23:42:16.962665,2022-08-16 00:54:19.120439,0 days 01:12:02.157774,relu,128,0.1,1.6129906979597315e-08,0.8,0.9999,0.009150711714918092,linear,5.0,10,64,medium,0.08616148033680648,COMPLETE
1,1,-1996.0,2022-08-16 00:54:19.164116,2022-08-16 02:04:36.882163,0 days 01:10:17.718047,tanh,128,0.2,3.0028642799606417e-07,0.92,0.99,0.00042806309827444003,constant,0.8,5,512,large,0.8877405065611021,PRUNED
2,2,-1828.0415898680687,2022-08-16 02:04:36.896300,2022-08-16 03:18:15.084743,0 days 01:13:38.188443,tanh,16,0.3,0.03991626002221608,0.95,0.9999,1.8354432480886783e-05,linear,2.0,20,512,large,0.20457199994495434,PRUNED
3,3,-1998.0,2022-08-16 03:18:15.097877,2022-08-16 03:45:42.158936,0 days 00:27:27.061059,relu,8,0.1,5.0715832965282295e-06,0.9,0.9,0.026305283193264653,linear,0.5,10,2048,small,0.25440816221898477,PRUNED
4,4,-1997.0,2022-08-16 03:45:42.172294,2022-08-16 06:47:35.285311,0 days 03:01:53.113017,tanh,8,0.2,4.845118555303237e-07,0.9,0.95,0.04798016116578416,constant,0.3,20,16,medium,0.5942977697581621,PRUNED
5,5,-1225.8164938167436,2022-08-16 06:47:35.296901,2022-08-16 07:08:23.129281,0 days 00:20:47.832380,relu,256,0.1,3.320209474125927e-05,0.99,0.9999,0.0005503110168474917,constant,1.0,20,512,small,0.9843884826804767,PRUNED
6,6,-1392.5627824940996,2022-08-16 07:08:23.142869,2022-08-16 07:31:53.353065,0 days 00:23:30.210196,relu,128,0.2,7.043360387483642e-05,0.92,0.9,0.0015753568818186506,linear,2.0,20,128,medium,0.9413724681027057,PRUNED
7,7,-1997.0,2022-08-16 07:31:53.364619,2022-08-16 09:00:28.243884,0 days 01:28:34.879265,tanh,128,0.2,0.0020639447901191757,0.92,0.999,0.6489454352728444,constant,0.9,10,1024,medium,0.4215179720788045,PRUNED
8,8,122.64135413709155,2022-08-16 09:00:28.256558,2022-08-16 09:41:31.906219,0 days 00:41:03.649661,relu,256,0.1,4.5656790174468e-05,0.9,0.9999,2.084129596807989e-05,constant,0.6,10,512,large,0.5263731602983714,COMPLETE
9,9,-1281.3201377501987,2022-08-16 09:41:31.930677,2022-08-16 10:13:31.329538,0 days 00:31:59.398861,tanh,16,0.2,5.929001486066105e-05,0.8,0.98,5.7692019561322135e-05,linear,0.6,20,128,small,0.8658272850830153,PRUNED
10,10,-1998.0,2022-08-16 10:13:31.341344,2022-08-16 10:18:48.149266,0 days 00:05:16.807922,relu,256,0.4,0.0015139095450937196,1.0,0.995,1.150402355632357e-05,constant,0.6,1,256,large,0.6361679358277519,PRUNED
11,11,100.00000149011612,2022-08-16 10:18:48.163127,2022-08-16 10:32:51.845662,0 days 00:14:03.682535,relu,64,0.1,2.2878932127763334e-08,0.8,0.9999,0.015517918351070458,linear,5.0,10,64,medium,0.02256252630938177,PRUNED
12,12,-1998.0,2022-08-16 10:32:51.857121,2022-08-16 10:47:26.632683,0 days 00:14:34.775562,relu,32,0.1,2.3470292490072056e-08,0.98,0.9999,0.006198453751798667,constant,5.0,10,64,large,0.419906426556815,PRUNED
13,13,-1998.0,2022-08-16 10:47:26.641402,2022-08-16 11:02:01.488480,0 days 00:14:34.847078,relu,512,0.1,2.2683078837181275e-06,0.8,0.9999,0.16556168015490727,linear,0.7,10,32,large,0.030929271456042115,PRUNED
14,14,-155.3163062958949,2022-08-16 11:02:01.498400,2022-08-16 11:14:31.129999,0 days 00:12:29.631599,relu,256,0.4,0.0006484843152817903,0.9,0.98,0.00012110882796343767,linear,5.0,5,64,medium,0.7399886435742085,PRUNED
15,15,100.00000149011612,2022-08-16 11:14:31.140813,2022-08-16 11:28:41.010964,0 days 00:14:09.870151,relu,512,0.3,1.9307990420554716e-07,0.98,0.99,0.003796627586614385,constant,0.6,1,8,medium,0.2582101867662151,PRUNED
16,16,-1372.5683375105261,2022-08-16 11:28:41.022079,2022-08-16 12:04:35.152474,0 days 00:35:54.130395,relu,32,0.1,5.0301950066846995e-06,0.95,0.999,0.001043886699036232,linear,0.8,10,2048,large,0.5113045099033832,PRUNED
17,17,-1776.6675629854203,2022-08-16 12:04:35.166530,2022-08-16 12:49:57.295363,0 days 00:45:22.128833,relu,64,0.1,0.0003219817136816439,0.99,0.95,8.72795697994738e-05,constant,0.5,10,1024,large,0.14278660200854165,PRUNED
18,18,-1997.0,2022-08-16 12:49:57.310130,2022-08-16 15:12:34.433593,0 days 02:22:37.123463,relu,128,0.1,0.024349526272430463,1.0,0.995,0.11949841824343335,constant,0.9,10,8,medium,0.3663841901687601,PRUNED
19,19,100.00000149011612,2022-08-16 15:12:34.448712,2022-08-16 15:22:05.370392,0 days 00:09:30.921680,relu,256,0.4,1.4453202177845396e-06,0.8,0.9999,0.008183486434076586,linear,0.3,1,256,small,0.7050527096634422,PRUNED
