,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_lr_schedule,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
0,0,119.37035194224009,2022-08-16 15:48:51.926414,2022-08-16 16:43:24.916549,0 days 00:54:32.990135,relu,16,0.3,5.8048416546604884e-08,0.92,0.99,0.0020738771387611436,linear,0.6,5,1024,medium,0.6262509119704917,COMPLETE
1,1,-1998.0,2022-08-16 16:46:01.875650,2022-08-16 17:02:48.150641,0 days 00:16:46.274991,tanh,512,0.2,0.0001872816932218612,0.9,0.95,0.9467611853122843,constant,1.0,1,16,medium,0.19527384598899344,COMPLETE
2,2,,2022-08-16 17:18:54.314454,,,relu,128,0.1,0.00016474323893193965,0.8,0.95,0.057387022838456356,linear,0.9,1,8,small,0.1753672471352209,RUNNING
3,3,-1998.0,2022-08-16 20:18:46.712938,2022-08-16 20:32:34.585489,0 days 00:13:47.872551,tanh,512,0.4,0.0013311330485325115,0.98,0.99,0.13051512647893537,linear,0.8,1,2048,large,0.9138356098174172,COMPLETE
4,4,,2022-08-16 20:32:34.929472,,,tanh,64,0.3,5.160814923970183e-08,0.99,0.95,0.0002786199361684885,constant,5.0,20,8,large,0.8261638133477031,RUNNING
5,5,,2022-08-16 21:56:39.413954,,,relu,64,0.1,0.017759681681945867,0.98,0.9,0.35531020655783413,constant,0.6,20,256,small,0.2646366056042222,RUNNING
6,6,312.00027811586625,2022-08-17 06:11:23.284338,2022-08-17 07:50:21.560379,0 days 01:38:58.276041,relu,32,0.3,4.347351824698956e-06,0.92,0.99,4.019937951454298e-05,constant,0.9,20,32,medium,0.7661632953921149,COMPLETE
7,7,-1576.9268820802215,2022-08-17 08:21:25.374403,2022-08-17 09:59:05.612215,0 days 01:37:40.237812,tanh,8,0.1,3.885194075065795e-07,1.0,0.9,5.106764453122985e-05,constant,0.3,5,8,medium,0.3258351200143874,COMPLETE
8,8,100.00000149011612,2022-08-17 09:59:05.760518,2022-08-17 11:36:20.421299,0 days 01:37:14.660781,relu,256,0.3,1.4770850734268636e-08,0.98,0.9999,1.1473026245935665e-05,constant,2.0,5,8,large,0.22687624395654116,COMPLETE
9,9,,2022-08-17 11:36:20.617355,,,tanh,256,0.3,1.8773339230672027e-08,0.95,0.9,0.004658661903950474,linear,0.5,10,16,small,0.36538483264645427,RUNNING
