,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_rate,params_learning_starts,params_lr_schedule,params_net_arch,params_subsample_steps,params_target_update_interval,params_train_freq,state
0,0,-1815.5729001701343,2022-08-18 15:40:21.631560,2022-08-18 16:22:23.553129,0 days 00:42:01.921569,64,100000,0.125285582251461,0.3685913471765885,0.95,2.7824159401143906e-05,5000,constant,large,4,10000,1000,COMPLETE
1,1,100.00000149011612,2022-08-18 16:22:23.717888,2022-08-18 16:47:36.953386,0 days 00:25:13.235498,128,50000,0.03680798909292189,0.4639858992682358,0.99,0.1036822762804867,20000,constant,large,1,15000,8,COMPLETE
2,2,-1998.0,2022-08-18 16:47:37.211964,2022-08-18 18:01:21.356552,0 days 01:13:44.144588,64,100000,0.10464325473663472,0.4016032437953407,0.9999,0.02730381742497267,10000,linear,large,8,1,4,PRUNED
3,3,-1998.0,2022-08-18 18:01:21.438403,2022-08-18 18:19:10.494260,0 days 00:17:49.055857,16,50000,0.1584660954680237,0.20912608894639434,0.999,0.004046967257018189,5000,linear,medium,8,1,256,PRUNED
4,4,200.29586464477975,2022-08-18 18:19:10.598090,2022-08-18 18:57:36.889421,0 days 00:38:26.291331,256,100000,0.03108596243043145,0.03981428974960677,0.9999,3.781251637518924e-05,10000,linear,small,1,15000,128,COMPLETE
5,5,-1746.5255325732287,2022-08-18 18:57:37.129999,2022-08-18 19:40:21.513971,0 days 00:42:44.383972,32,10000,0.19649559223928464,0.47253903748136106,0.999,0.00012296580423803982,1000,constant,large,2,5000,1000,PRUNED
6,6,100.00000149011612,2022-08-18 19:40:21.630625,2022-08-18 20:24:52.382581,0 days 00:44:30.751956,256,10000,0.11176402970214848,0.3645527458215059,0.99,0.027860194331076827,10000,linear,small,1,10000,256,COMPLETE
7,7,-1998.0,2022-08-18 20:24:52.531996,2022-08-18 20:44:32.719777,0 days 00:19:40.187781,512,10000,0.06597618314374736,0.2615290614056075,0.999,0.003503562577906111,0,linear,medium,8,1,8,PRUNED
8,8,184.95224798474206,2022-08-18 20:44:32.813020,2022-08-18 21:11:21.862399,0 days 00:26:49.049379,512,100000,0.090994001927804,0.3675752581757333,0.9,0.000145731657555754,5000,constant,large,2,5000,4,COMPLETE
9,9,,2022-08-18 21:11:22.840062,,,100,50000,0.05744606501123089,0.4265051275448794,0.9,0.0032548967462263183,20000,linear,medium,8,10000,4,RUNNING
