,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_rate,params_learning_starts,params_lr_schedule,params_net_arch,params_subsample_steps,params_target_update_interval,params_train_freq,state
0,0,25.00000037252903,2022-08-09 18:11:51.476693,2022-08-09 18:12:16.677278,0 days 00:00:25.200585,128,10000,0.028268129265670974,0.1995505753535754,0.98,0.3577712363617005,5000,linear,small,8,10000,16,COMPLETE
1,1,5.954173249937594,2022-08-09 18:12:16.693972,2022-08-09 18:15:06.204059,0 days 00:02:49.510087,64,50000,0.18054714204960942,0.16169924514841794,0.9999,0.003775005589310565,1000,linear,large,2,15000,4,PRUNED
2,2,78.22557129245251,2022-08-09 18:15:06.207993,2022-08-09 18:17:17.757832,0 days 00:02:11.549839,128,1000000,0.04495902789017634,0.3019451488636532,0.98,0.00027520975965890214,1000,linear,small,1,5000,8,COMPLETE
3,3,-499.0,2022-08-09 18:17:17.769508,2022-08-09 18:17:30.574459,0 days 00:00:12.804951,256,100000,0.020571312747043914,0.06499763424327243,0.95,0.0014629465841212242,20000,constant,medium,4,10000,128,PRUNED
4,4,25.00000037252903,2022-08-09 18:17:30.578340,2022-08-09 18:25:35.166881,0 days 00:08:04.588541,512,50000,0.05366152137733398,0.18127072389399873,0.98,0.8479322722391772,5000,constant,large,2,15000,1,PRUNED
5,5,-499.0,2022-08-09 18:25:35.170926,2022-08-09 18:25:49.264273,0 days 00:00:14.093347,512,10000,0.015873697292308475,0.23987562112746286,0.9999,0.00034100721773419807,20000,linear,medium,2,5000,256,PRUNED
6,6,-499.0,2022-08-09 18:25:49.268367,2022-08-09 18:26:01.815529,0 days 00:00:12.547162,256,100000,0.03318589534958729,0.2647147110433733,0.95,0.01663545715919028,20000,linear,large,2,15000,8,PRUNED
7,7,-499.0,2022-08-09 18:26:01.819572,2022-08-09 18:26:16.035222,0 days 00:00:14.215650,256,50000,0.08546328410532661,0.32737102742267576,0.999,5.714678296375293e-05,10000,linear,medium,2,1000,8,PRUNED
8,8,-20.202993343770505,2022-08-09 18:26:16.039190,2022-08-09 18:30:43.461608,0 days 00:04:27.422418,512,1000000,0.09743538604144722,0.29941881125967806,0.98,0.002678357359345444,5000,constant,medium,1,15000,128,PRUNED
9,9,25.00000037252903,2022-08-09 18:30:43.465748,2022-08-09 18:31:32.092740,0 days 00:00:48.626992,16,10000,0.15777739397878443,0.16376104572622552,0.99,0.9158411032113307,5000,linear,medium,1,1000,4,PRUNED
10,10,-21.88432508148253,2022-08-09 18:31:32.096805,2022-08-09 18:32:30.826042,0 days 00:00:58.729237,32,1000000,0.13609029375150777,0.4622221333179925,0.9,1.833478678815371e-05,1000,constant,small,1,1,8,PRUNED
11,11,25.00000037252903,2022-08-09 18:32:30.829998,2022-08-09 18:33:05.328376,0 days 00:00:34.498378,128,1000000,0.06115285126180942,0.38806161554720975,0.98,0.06270445128018193,0,linear,small,8,20000,16,PRUNED
