,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,state
0,0,0.3550515256826217,2022-08-12 12:10:47.914081,2022-08-12 12:18:24.078455,0 days 00:07:36.164374,0.8573296504518916,0.9271768048798811,COMPLETE
1,1,0.4753866988032929,2022-08-12 12:18:24.278553,2022-08-12 12:26:49.259009,0 days 00:08:24.980456,0.001838887609215023,0.890519541602974,COMPLETE
2,2,0.5071094880305541,2022-08-12 12:26:49.387955,2022-08-12 12:35:35.040251,0 days 00:08:45.652296,0.10823826609893616,0.08441879224369875,COMPLETE
3,3,0.45292747210630435,2022-08-12 12:35:35.209558,2022-08-12 12:41:31.406900,0 days 00:05:56.197342,0.15111867354148834,0.9780568668138641,PRUNED
4,4,0.48802681639520645,2022-08-12 12:41:31.457618,2022-08-12 12:48:17.942197,0 days 00:06:46.484579,0.6289240332789601,0.44143817447262523,COMPLETE
5,5,0.5260590648244706,2022-08-12 12:48:18.069381,2022-08-12 12:56:12.059819,0 days 00:07:53.990438,0.15355171409787616,0.17351706676438172,COMPLETE
6,6,0.482700036034692,2022-08-12 12:56:12.177166,2022-08-12 13:03:33.020981,0 days 00:07:20.843815,0.7004553761797876,0.19691840345922773,PRUNED
7,7,0.5160422173441229,2022-08-12 13:03:33.131792,2022-08-12 13:10:54.647017,0 days 00:07:21.515225,0.4588888672629515,0.4241571470542982,COMPLETE
8,8,0.5060983072202289,2022-08-12 13:10:54.887511,2022-08-12 13:18:07.598998,0 days 00:07:12.711487,0.46921985837609814,0.44199117195516946,COMPLETE
9,9,0.44791889374541394,2022-08-12 13:18:07.778869,2022-08-12 13:24:21.742821,0 days 00:06:13.963952,0.8140029481323258,0.8812588944184285,PRUNED
10,10,0.5132438093441883,2022-08-12 13:24:21.771728,2022-08-12 13:32:12.696739,0 days 00:07:50.925011,0.2966610711583394,0.007658429747481876,COMPLETE
11,11,0.5001178377585779,2022-08-12 13:32:12.819413,2022-08-12 13:39:44.774909,0 days 00:07:31.955496,0.3935639843458907,0.23924928735582263,PRUNED
12,12,0.5148543345488992,2022-08-12 13:39:44.830740,2022-08-12 13:46:49.920649,0 days 00:07:05.089909,0.2822233879954492,0.6771718307855475,COMPLETE
13,13,0.509371907834383,2022-08-12 13:46:50.108698,2022-08-12 13:54:07.617969,0 days 00:07:17.509271,0.582482419830372,0.29297979157335996,COMPLETE
14,14,,2022-08-12 13:54:07.730846,,,0.2733376259103132,0.6141675980668188,RUNNING
15,15,0.5135463477465919,2022-08-12 20:21:19.235516,2022-08-12 20:27:34.280944,0 days 00:06:15.045428,0.30151207659958545,0.6298255191671549,COMPLETE
16,16,0.4121640966823839,2022-08-12 20:27:34.528410,2022-08-12 20:32:58.071112,0 days 00:05:23.542702,0.9956702486113312,0.2943125888624904,PRUNED
17,17,,2022-08-12 20:32:58.201342,,,0.15561544046758854,0.5434383196518329,RUNNING
18,18,0.5259208532580643,2022-08-12 20:38:22.407036,2022-08-12 20:44:57.446446,0 days 00:06:35.039410,0.16194923942644085,0.5881207813892608,COMPLETE
19,19,0.5511347453542669,2022-08-12 20:44:57.621407,2022-08-12 20:51:30.888421,0 days 00:06:33.267014,0.15511163423150065,0.6589383360787525,COMPLETE
20,20,0.5107037896105068,2022-08-12 20:51:31.012374,2022-08-12 20:57:51.983694,0 days 00:06:20.971320,0.07494315309581284,0.7603165472315252,PRUNED
21,21,0.4682296960084649,2022-08-12 20:57:52.091276,2022-08-12 21:04:17.196296,0 days 00:06:25.105020,0.22553049588266239,0.7579697968241693,PRUNED
22,22,0.5444026149499629,2022-08-12 21:04:17.369890,2022-08-12 21:11:09.672001,0 days 00:06:52.302111,0.018622483773224174,0.545443602444643,COMPLETE
23,23,0.5194461571810723,2022-08-12 21:11:09.857372,2022-08-12 21:18:00.103305,0 days 00:06:50.245933,0.022227021104983046,0.5425519862099342,COMPLETE
24,24,0.5278365384987044,2022-08-12 21:18:00.236161,2022-08-12 21:24:36.452637,0 days 00:06:36.216476,0.16723267302080372,0.714306218275449,COMPLETE
25,25,0.5006114761332674,2022-08-12 21:24:36.573432,2022-08-12 21:31:06.294285,0 days 00:06:29.720853,0.37954437256678786,0.7277772740313853,PRUNED
26,26,0.5579178281196986,2022-08-12 21:31:06.366621,2022-08-12 21:37:56.959827,0 days 00:06:50.593206,0.23776516764509964,0.5147196814607593,COMPLETE
27,27,0.5298536530972635,2022-08-12 21:37:57.195498,2022-08-12 21:44:45.705642,0 days 00:06:48.510144,0.056355048831878536,0.5367791940499479,COMPLETE
28,28,0.5617655657193048,2022-08-12 21:44:45.835473,2022-08-12 21:51:41.390505,0 days 00:06:55.555032,0.23429654828859992,0.3782606784901285,COMPLETE
29,29,0.5124634934003528,2022-08-12 21:51:41.542115,2022-08-12 21:58:29.680374,0 days 00:06:48.138259,0.23718999604139024,0.3828442078651284,PRUNED
30,30,0.5563121303526237,2022-08-12 21:58:29.762898,2022-08-12 22:05:25.061138,0 days 00:06:55.298240,0.36258984628387114,0.3498290902168593,COMPLETE
31,31,0.519164694529702,2022-08-12 22:05:25.196481,2022-08-12 22:12:06.435904,0 days 00:06:41.239423,0.37779275103370746,0.34576168651245537,COMPLETE
32,32,0.5429288157231579,2022-08-12 22:12:06.573082,2022-08-12 22:18:14.699846,0 days 00:06:08.126764,0.5319400985793923,0.4734348812286135,COMPLETE
33,33,0.5376946194980976,2022-08-12 22:18:14.825467,2022-08-12 22:24:31.089195,0 days 00:06:16.263728,0.25004719222260696,0.36122749103270274,COMPLETE
34,34,0.5272458093338844,2022-08-12 22:24:31.505252,2022-08-12 22:30:25.959036,0 days 00:05:54.453784,0.32811711371739255,0.6355978392801005,COMPLETE
